token_id,raw_code,family,mean_dpsi_rad,mean_dalt_m,mean_dspd_mps,mean_abs_dpsi,mean_abs_dalt,mean_abs_dspd,dpsi_deg,count,ratio,confidence,notes
19,45,sustain,-.000725,3.78,0.59,.000725,3.78,0.59,-0.04,994781,0.3973,high,"最高频token(39.7%); 接近零动作; 稳态巡航/直飞"
8,25,mild_climb,.000993,72.55,0.48,.000993,72.55,0.48,0.06,524769,0.2096,high,"第二高频(21.0%); 几乎无转弯; 轻微爬升72m/2s; 速度不变"
26,59,climb,.001146,202.98,-0.56,.001146,202.98,0.56,0.07,150927,0.0603,high,"显著爬升203m/2s; 无转弯; 微量减速; 能量换高度"
16,41,mild_descend,-.005725,-93.54,2.07,.005725,93.54,2.07,-0.33,170406,0.0681,high,"下降94m/2s; 几乎无转弯; 微量加速; 势能换速度"
18,44,mild_left_turn,-.054639,33.01,12.57,.054639,33.01,12.57,-3.13,133552,0.0534,high,"轻微左转3.1deg/2s; 小幅爬升; 加速12.6m/s"
5,17,mild_left_turn,-.136600,37.49,-8.68,.136600,37.49,8.68,-7.83,79109,0.0316,high,"左转7.8deg/2s; 小幅爬升; 轻微减速"
6,19,mild_right_turn,.116293,-13.47,-6.58,.116293,13.47,6.58,6.66,67873,0.0271,high,"右转6.7deg/2s; 微降13m; 轻微减速"
7,24,mild_right_turn,.155840,17.92,13.69,.155840,17.92,13.69,8.93,56814,0.0227,high,"右转8.9deg/2s; 小幅爬升; 加速14m/s"
13,35,descend,.005908,-253.01,6.58,.005908,253.01,6.58,0.34,51645,0.0206,high,"显著下降253m/2s; 无转弯; 微量加速; 俯冲换速"
22,55,right_turn_climb,.170945,101.65,-22.17,.170945,101.65,22.17,9.79,36614,0.0146,medium,"右转9.8deg + 爬升102m + 减速22m/s; 混合机动"
10,27,mild_descend,-.035171,-153.28,-14.87,.035171,153.28,14.87,-2.02,31117,0.0124,medium,"下降153m; 微左转; 减速15m/s"
29,63,moderate_left_turn,-.347564,11.21,18.19,.347564,11.21,18.19,-19.91,30676,0.0123,medium,"左转19.9deg/2s; 高度不变; 加速; 中等机动"
14,37,moderate_left_turn,-.313615,19.54,-31.27,.313615,19.54,31.27,-17.97,27607,0.0110,medium,"左转18.0deg/2s; 高度不变; 减速31m/s; 制动转弯"
2,9,moderate_right_turn,.426245,17.57,16.15,.426245,17.57,16.15,24.42,18874,0.0075,medium,"右转24.4deg/2s; 高度不变; 加速16m/s"
0,4,moderate_right_turn,.416200,-1.46,-42.24,.416200,7.44,42.24,23.85,14770,0.0059,medium,"右转23.9deg; 高度不变; 大幅减速42m/s; 制动右转"
27,60,steep_descend,-.002915,-519.80,9.96,.003166,519.80,9.96,-0.17,17057,0.0068,medium,"急降520m/2s; 无转弯; 微加速; 紧急下降/俯冲"
25,58,right_turn_descend,.251237,-249.85,-22.04,.251237,249.85,22.04,14.39,16725,0.0067,medium,"右转14.4deg + 下降250m + 减速22m/s; 攻击式俯冲"
15,39,right_turn_descend,.266485,-310.73,33.16,.266485,310.73,33.16,15.27,15517,0.0062,medium,"右转15.3deg + 下降311m + 加速33m/s; 俯冲加速"
21,54,left_turn_descend,-.129106,-335.13,38.83,.129106,335.13,38.83,-7.40,14536,0.0058,medium,"左转7.4deg + 下降335m + 加速39m/s"
20,46,left_turn_descend,-.289967,-314.39,-7.94,.289967,314.39,7.94,-16.61,12310,0.0049,medium,"左转16.6deg + 下降314m; 速度不变"
17,42,left_turn_descend,-.108190,-353.90,-50.75,.108190,353.90,50.75,-6.20,9753,0.0039,low,"左转6.2deg + 急降354m + 大减速51m/s; 紧急下降"
11,33,hard_left_turn,-.607233,-188.45,-52.45,.607233,188.45,52.45,-34.79,4944,0.0020,low,"大左转34.8deg + 下降188m + 减速52m/s; 高强度机动"
12,34,right_turn_descend,.322210,-407.42,-87.57,.322210,407.42,87.57,18.46,4887,0.0020,low,"右转18.5deg + 急降407m + 大减速88m/s; 极端俯冲转弯"
1,6,right_turn_steep_descend,.188923,-481.35,89.44,.188923,481.35,89.44,10.82,3751,0.0015,low,"右转10.8deg + 急降481m + 大加速89m/s; 高速俯冲"
24,57,hard_right_turn,.749155,-476.01,0.50,.749155,476.01,20.26,42.92,3617,0.0014,low,"大右转42.9deg + 急降476m; 最激进右转token"
23,56,hard_left_turn_descend,-.314335,-287.99,-107.57,.314335,287.99,107.57,-18.01,2988,0.0012,low,"左转18.0deg + 下降288m + 大减速108m/s; 紧急制动"
3,10,left_turn_steep_descend,-.348562,-410.84,87.72,.348562,410.84,87.72,-19.97,2869,0.0011,low,"左转20.0deg + 急降411m + 大加速88m/s; 高速俯冲左转"
28,62,hard_left_turn,-.711556,-253.35,13.63,.711556,253.35,19.31,-40.77,5002,0.0020,low,"大左转40.8deg + 下降253m; 最激进左转token"
9,26,stabilize,.004781,-79.11,-7.82,.005092,79.11,7.82,0.27,249,0.0001,low,"接近零动作但轻微下降; 极少使用; 可能是过渡码"
4,14,stabilize,.001762,-84.04,-7.34,.004383,84.04,7.34,0.10,1,0.0000,low,"几乎未使用(仅1次); 死码字; 微下降"
